source,promulgated_on,enforced_on,recorded_on,number,kind
jorei,2011-01-26,,,条例第1号,制定
jorei,2012-06-20,2012-07-09,,条例第31号,改正
jorei,2015-03-23,2015-04-01,,条例第13号,改正
jorei,2017-03-22,2017-04-01,,条例第9号,改正
jorei,2019-03-20,2019-04-01,,条例第2号,改正
jorei,2023-12-22,2024-04-01,,条例第31号,改正
jorei,2024-09-25,2025-01-01,,条例第20号,改正
jorei,2025-03-14,2025-06-01,,条例第6号,改正
jorei,2026-03-19,,,条例第4号,附則未掲載
kisoku,,,2004-03-01,規則第2号,制定
kisoku,,,2005-04-01,規則第5号,改正
kisoku,,,2005-06-27,規則第12号,改正
kisoku,,,2006-03-29,規則第12号,改正
kisoku,,,2006-06-27,規則第31号,改正
kisoku,,,2006-12-12,規則第49号,改正
kisoku,,,2007-03-26,規則第16号,改正
kisoku,,,2007-09-21,規則第26号,改正
kisoku,,,2008-03-28,規則第17号,改正
kisoku,,,2008-04-17,規則第20号,改正
kisoku,,,2009-03-31,規則第9号,改正
kisoku,,,2010-04-01,規則第8号,改正
kisoku,,,2010-04-01,規則第10号,改正
kisoku,,,2010-04-01,規則第29号,改正
kisoku,,,2011-03-31,規則第2号,改正
kisoku,,,2012-04-01,規則第23号,改正
kisoku,,,2012-07-09,規則第33号,改正
kisoku,,,2013-04-01,規則第5号,改正
kisoku,,,2014-04-01,規則第19号,改正
kisoku,,,2015-01-01,規則第1号,改正
kisoku,,,2015-04-01,規則第4号,改正
kisoku,,,2015-05-01,規則第31号,改正
kisoku,,,2015-09-01,規則第35号,改正
kisoku,,,2016-04-01,規則第3号,改正
kisoku,,,2016-06-01,規則第26号,改正
kisoku,,,2016-09-01,規則第31号,改正
kisoku,,,2017-04-01,規則第5号,改正
kisoku,,,2017-11-01,規則第25号,改正
kisoku,,,2018-04-01,規則第2号,改正
kisoku,,,2018-07-01,規則第15号,改正
kisoku,,,2019-04-01,規則第13号,改正
kisoku,,,2020-04-01,規則第8号,改正
kisoku,,,2020-09-01,規則第44号,改正
kisoku,,,2021-04-01,規則第3号,改正
kisoku,,,2022-04-01,規則第8号,改正
kisoku,,,2023-04-01,規則第5号,改正
kisoku,,,2024-04-01,規則第4号,改正
kisoku,,,2025-01-01,規則第1号,改正
kisoku,,,2025-06-01,規則第11号,改正
kyoiku,,,2004-03-01,教委規則第5号,制定
kyoiku,,,2005-07-01,教委規則第5号,改正
kyoiku,,,2009-03-27,教委規則第2号,改正
kyoiku,,,2011-03-15,教委規則第3号,改正
kyoiku,,,2012-03-16,教委規則第1号,改正
kyoiku,,,2013-04-01,教委規則第1号,改正
kyoiku,,,2015-04-01,教委規則第2号,改正
kyoiku,,,2017-03-24,教委規則第6号,改正
kyoiku,,,2019-04-01,教委規則第1号,改正
