id,unit_id,unit_name,seq,text,legal_source,article
d0001,u001,総務部,1,市議会に関すること,jorei,条例第1条・第2条
d0002,u001,総務部,2,行政管理に関すること,jorei,条例第1条・第2条
d0003,u001,総務部,3,総合計画に関すること,jorei,条例第1条・第2条
d0004,u001,総務部,4,職員に関すること,jorei,条例第1条・第2条
d0005,u001,総務部,5,文書に関すること,jorei,条例第1条・第2条
d0006,u001,総務部,6,防災に関すること,jorei,条例第1条・第2条
d0007,u001,総務部,7,人権及び同和対策に関すること,jorei,条例第1条・第2条
d0008,u001,総務部,8,広報及び広聴に関すること,jorei,条例第1条・第2条
d0009,u001,総務部,9,交通対策に関すること,jorei,条例第1条・第2条
d0010,u001,総務部,10,財政に関すること,jorei,条例第1条・第2条
d0011,u001,総務部,11,入札及び契約に関すること,jorei,条例第1条・第2条
d0012,u001,総務部,12,財産管理に関すること,jorei,条例第1条・第2条
d0013,u001,総務部,13,SDGs未来都市に関すること,jorei,条例第1条・第2条
d0014,u001,総務部,14,情報管理及び自治体デジタル化の推進に関すること,jorei,条例第1条・第2条
d0015,u001,総務部,15,他の組織との連絡調整に関すること,jorei,条例第1条・第2条
d0016,u001,総務部,16,市長の特命事項に関すること,jorei,条例第1条・第2条
d0017,u003,総務班,1,議会の招集及び議案,kisoku,規則第4条
d0018,u003,総務班,2,条例、規則等の制定及び改廃,kisoku,規則第4条
d0019,u003,総務班,3,公告式,kisoku,規則第4条
d0020,u003,総務班,4,寄附,kisoku,規則第4条
d0021,u003,総務班,5,公印の管守,kisoku,規則第4条
d0022,u003,総務班,6,固定資産評価審査委員会,kisoku,規則第4条
d0023,u003,総務班,7,行政相談,kisoku,規則第4条
d0024,u003,総務班,8,特別職報酬等審議会,kisoku,規則第4条
d0025,u003,総務班,9,審査請求及び訴訟,kisoku,規則第4条
d0026,u003,総務班,10,行政手続,kisoku,規則第4条
d0027,u003,総務班,11,政治倫理,kisoku,規則第4条
d0028,u003,総務班,12,庁議,kisoku,規則第4条
d0029,u003,総務班,13,庁内の取締り,kisoku,規則第4条
d0030,u003,総務班,14,庁内、支所及び郷ノ浦町内の事務所との連絡調整,kisoku,規則第4条
d0031,u003,総務班,15,秘書,kisoku,規則第4条
d0032,u003,総務班,16,儀式、典礼、褒賞、表彰その他行事,kisoku,規則第4条
d0033,u003,総務班,17,陳情及び請願,kisoku,規則第4条
d0034,u003,総務班,18,交渉及び渉外,kisoku,規則第4条
d0035,u003,総務班,19,文書の収受及び発送,kisoku,規則第4条
d0036,u003,総務班,20,文書の管理,kisoku,規則第4条
d0037,u003,総務班,21,情報公開(受付、調整及び処理),kisoku,規則第4条
d0038,u003,総務班,22,個人情報の保護,kisoku,規則第4条
d0039,u003,総務班,23,渡船事業(フェリーみしま),kisoku,規則第4条
d0040,u003,総務班,24,フェリーみしまの運航,kisoku,規則第4条
d0041,u003,総務班,25,壱岐空港ターミナルビルの管理運営,kisoku,規則第4条
d0042,u003,総務班,26,地方バス路線,kisoku,規則第4条
d0043,u003,総務班,27,コミュニティバス,kisoku,規則第4条
d0044,u003,総務班,28,航路・航空路対策,kisoku,規則第4条
