id,name,level,parent_id,branch,legal_source,article,duty_count,note
u001,総務部,部,,市長部局 ─ 本庁(6部),jorei,条例第1条・第2条,16,部の設置と大分掌は条例、部内の課・班は規則第3条・第4条が定める。
u002,総務課,課,u001,市長部局 ─ 本庁(6部),kisoku,規則第3条,0,
u003,総務班,班,u002,市長部局 ─ 本庁(6部),kisoku,規則第4条,42,
u004,職員班,班,u002,市長部局 ─ 本庁(6部),kisoku,規則第4条,6,
u005,危機管理班,班,u002,市長部局 ─ 本庁(6部),kisoku,規則第4条,10,
u006,財政課,課,u001,市長部局 ─ 本庁(6部),kisoku,規則第3条,0,
u007,財政班,班,u006,市長部局 ─ 本庁(6部),kisoku,規則第4条,7,
u008,契約管財班,班,u006,市長部局 ─ 本庁(6部),kisoku,規則第4条,11,
u009,一緒に推進課,課,u001,市長部局 ─ 本庁(6部),kisoku,規則第3条,0,共創を掲げるユニークな課名。SDGs・広報・情報化を束ねる。
u010,共創推進班,班,u009,市長部局 ─ 本庁(6部),kisoku,規則第4条,11,
u011,広報戦略班,班,u009,市長部局 ─ 本庁(6部),kisoku,規則第4条,5,
u012,情報管理班,班,u009,市長部局 ─ 本庁(6部),kisoku,規則第4条,5,
u013,地域振興部,部,,市長部局 ─ 本庁(6部),jorei,条例第1条・第2条,10,
u014,地域共創課,課,u013,市長部局 ─ 本庁(6部),kisoku,規則第3条,0,
u015,企画市民協働班,班,u014,市長部局 ─ 本庁(6部),kisoku,規則第4条,17,
u016,人口対策班,班,u014,市長部局 ─ 本庁(6部),kisoku,規則第4条,7,
u017,観光課,課,u013,市長部局 ─ 本庁(6部),kisoku,規則第3条,0,
u018,観光しまづくり班,班,u017,市長部局 ─ 本庁(6部),kisoku,規則第4条,13,
u019,文化スポーツ振興課,課,u013,市長部局 ─ 本庁(6部),kisoku,規則第3条,0,
u020,文化振興班,班,u019,市長部局 ─ 本庁(6部),kisoku,規則第4条,7,
u021,スポーツ振興班,班,u019,市長部局 ─ 本庁(6部),kisoku,規則第4条,10,
u022,文化財班,班,u019,市長部局 ─ 本庁(6部),kisoku,規則第4条,7,
u023,市民部,部,,市長部局 ─ 本庁(6部),jorei,条例第1条・第2条,5,
u024,市民福祉課,課,u023,市長部局 ─ 本庁(6部),kisoku,規則第3条,0,
u025,市民班,班,u024,市長部局 ─ 本庁(6部),kisoku,規則第4条,16,
u026,地域福祉班,班,u024,市長部局 ─ 本庁(6部),kisoku,規則第4条,21,
u027,子育て支援課,課,u023,市長部局 ─ 本庁(6部),kisoku,規則第3条,0,
u028,幼保連携推進班,班,u027,市長部局 ─ 本庁(6部),kisoku,規則第4条,3,
u029,こども支援班,班,u027,市長部局 ─ 本庁(6部),kisoku,規則第4条,5,
u030,こども家庭センター,班,u027,市長部局 ─ 本庁(6部),kisoku,規則第4条,8,
u031,保護課,課,u023,市長部局 ─ 本庁(6部),kisoku,規則第3条,0,
u032,保護班,班,u031,市長部局 ─ 本庁(6部),kisoku,規則第4条,3,
u033,保護給付班,班,u031,市長部局 ─ 本庁(6部),kisoku,規則第4条,3,
u034,税務課,課,u023,市長部局 ─ 本庁(6部),kisoku,規則第3条,0,
u035,市民税班,班,u034,市長部局 ─ 本庁(6部),kisoku,規則第4条,11,
u036,資産税班,班,u034,市長部局 ─ 本庁(6部),kisoku,規則第4条,12,
u037,債権管理室,室,u034,市長部局 ─ 本庁(6部),kisoku,規則第4条,0,室の下に債権管理班・納税特別対策班を置く。
u038,債権管理班,班,u037,市長部局 ─ 本庁(6部),kisoku,規則第4条,6,
u039,納税特別対策班,班,u037,市長部局 ─ 本庁(6部),kisoku,規則第4条,7,
u040,保健環境部,部,,市長部局 ─ 本庁(6部),jorei,条例第1条・第2条,6,
u041,保険課,課,u040,市長部局 ─ 本庁(6部),kisoku,規則第3条,0,
u042,国保・後期・年金班,班,u041,市長部局 ─ 本庁(6部),kisoku,規則第4条,20,
u043,介護保険班,班,u041,市長部局 ─ 本庁(6部),kisoku,規則第4条,12,
u044,長寿支援課,課,u040,市長部局 ─ 本庁(6部),kisoku,規則第3条,0,
u045,長寿福祉班,班,u044,市長部局 ─ 本庁(6部),kisoku,規則第4条,6,
u046,地域包括支援センター,班,u044,市長部局 ─ 本庁(6部),kisoku,規則第4条,8,
u047,健康増進課,課,u040,市長部局 ─ 本庁(6部),kisoku,規則第3条,0,
u048,健康増進班,班,u047,市長部局 ─ 本庁(6部),kisoku,規則第4条,14,
u049,環境衛生課,課,u040,市長部局 ─ 本庁(6部),kisoku,規則第3条,0,
u050,環境衛生班,班,u049,市長部局 ─ 本庁(6部),kisoku,規則第4条,17,
u051,廃棄物対策班,班,u049,市長部局 ─ 本庁(6部),kisoku,規則第4条,3,
u052,産業推進部,部,,市長部局 ─ 本庁(6部),jorei,条例第1条・第2条,7,令和7年6月施行の現行名称。旧・農林水産部系の課に商工振興を加えた構成。
u053,農林課,課,u052,市長部局 ─ 本庁(6部),kisoku,規則第3条,0,
u054,農業振興班,班,u053,市長部局 ─ 本庁(6部),kisoku,規則第4条,19,
u055,農林整備班,班,u053,市長部局 ─ 本庁(6部),kisoku,規則第4条,17,
u056,水産課,課,u052,市長部局 ─ 本庁(6部),kisoku,規則第3条,0,
u057,水産班,班,u056,市長部局 ─ 本庁(6部),kisoku,規則第4条,8,
u058,港湾漁港班,班,u056,市長部局 ─ 本庁(6部),kisoku,規則第4条,3,
u059,管理班,班,u056,市長部局 ─ 本庁(6部),kisoku,規則第4条,8,
u060,商工振興課,課,u052,市長部局 ─ 本庁(6部),kisoku,規則第3条,0,
u061,ふるさと振興班,班,u060,市長部局 ─ 本庁(6部),kisoku,規則第4条,12,
u062,雇用対策班,班,u060,市長部局 ─ 本庁(6部),kisoku,規則第4条,4,
u063,家畜診療所,課,u052,市長部局 ─ 本庁(6部),kisoku,規則第3条,0,
u064,衛生指導班,班,u063,市長部局 ─ 本庁(6部),kisoku,規則第4条,4,
u065,防疫班,班,u063,市長部局 ─ 本庁(6部),kisoku,規則第4条,2,
u066,建設部,部,,市長部局 ─ 本庁(6部),jorei,条例第1条・第2条,5,
u067,建設課,課,u066,市長部局 ─ 本庁(6部),kisoku,規則第3条,0,
u068,土木班,班,u067,市長部局 ─ 本庁(6部),kisoku,規則第4条,10,
u069,管理土地対策班,班,u067,市長部局 ─ 本庁(6部),kisoku,規則第4条,14,
u070,住宅班,班,u067,市長部局 ─ 本庁(6部),kisoku,規則第4条,6,
u071,建築整備班,班,u067,市長部局 ─ 本庁(6部),kisoku,規則第4条,5,
u072,上下水道課,課,u066,市長部局 ─ 本庁(6部),kisoku,規則第3条,0,
u073,水道班,班,u072,市長部局 ─ 本庁(6部),kisoku,規則第4条,1,
u074,下水道班,班,u072,市長部局 ─ 本庁(6部),kisoku,規則第4条,3,
u075,会計課,課,,会計管理者の補助組織,kisoku,規則第5条,0,会計課に会計係を置く。分掌事務は本モックでは未収録(規則本文参照)。
u076,会計係,班,u075,会計管理者の補助組織,kisoku,規則第5条,0,出納その他の会計事務(詳細は規則本文参照)。
u077,郷ノ浦支所,出先機関,,出先機関(市長部局),kisoku,規則第14条,0,支所には市民生活班を置く(郷ノ浦支所は地域班を置かない)。
u078,市民生活班,班,u077,出先機関(市長部局),kisoku,規則第14条,1,
u079,勝本支所,出先機関,,出先機関(市長部局),kisoku,規則第14条,0,
u080,市民生活班,班,u079,出先機関(市長部局),kisoku,規則第14条,1,
u081,地域班,班,u079,出先機関(市長部局),kisoku,規則第14条,1,
u082,芦辺支所,出先機関,,出先機関(市長部局),kisoku,規則第14条,0,
u083,市民生活班,班,u082,出先機関(市長部局),kisoku,規則第14条,1,
u084,地域班,班,u082,出先機関(市長部局),kisoku,規則第14条,1,
u085,石田支所,出先機関,,出先機関(市長部局),kisoku,規則第14条,0,
u086,市民生活班,班,u085,出先機関(市長部局),kisoku,規則第14条,1,
u087,地域班,班,u085,出先機関(市長部局),kisoku,規則第14条,1,
u088,福祉事務所,出先機関,,出先機関(市長部局),kisoku,規則第27条,1,市民部及び保健環境部内に置く。所長は市民部長が兼務。
u089,事務所(8か所),出先機関,,出先機関(市長部局),kisoku,規則第28条,1,渡良・柳田・沼津・志原・初山(以上郷ノ浦町)、湯本(勝本町)、那賀・箱崎(以上芦辺町)。
u090,教育総務課,課,,教育委員会事務局(市長部局とは別系統),kyoiku,教委規則第2条,0,
u091,総務班,班,u090,教育委員会事務局(市長部局とは別系統),kyoiku,教委規則,33,
u092,学校教育課,課,,教育委員会事務局(市長部局とは別系統),kyoiku,教委規則第2条,0,
u093,学校教育班,班,u092,教育委員会事務局(市長部局とは別系統),kyoiku,教委規則,22,
u094,社会教育課,課,,教育委員会事務局(市長部局とは別系統),kyoiku,教委規則第2条,0,
u095,生涯学習班,班,u094,教育委員会事務局(市長部局とは別系統),kyoiku,教委規則,27,
u096,文化財班,班,u094,教育委員会事務局(市長部局とは別系統),kyoiku,教委規則,8,
